,County,Year,State,MME,Deaths
443,PORTER,2009,IN,45925.277089503186,16.0
444,PORTER,2010,IN,55649.743886779455,24.0
445,PORTER,2011,IN,62190.93114997912,23.0
446,PORTER,2012,IN,68498.75103315347,23.0
447,POSEY,2006,IN,3984.6428274999957,
448,POSEY,2007,IN,5156.445676537505,
449,POSEY,2008,IN,5494.9193015875235,
450,POSEY,2009,IN,7194.98724795003,
451,POSEY,2010,IN,7691.545350000031,
452,POSEY,2011,IN,8175.766601362524,
453,POSEY,2012,IN,8919.067072500013,
454,PULASKI,2006,IN,2273.682255,
455,PULASKI,2007,IN,3102.4359660000077,
456,PULASKI,2008,IN,3657.887133000007,
457,PULASKI,2009,IN,4246.710727500016,
458,PULASKI,2010,IN,4997.221087500023,
459,PULASKI,2011,IN,6237.503737500016,
460,PULASKI,2012,IN,6472.88326500001,
461,PUTNAM,2006,IN,6574.231009000087,
462,PUTNAM,2007,IN,8572.421070500091,
463,PUTNAM,2008,IN,8619.363060000132,
464,PUTNAM,2009,IN,11034.354570000116,
465,PUTNAM,2010,IN,11381.365065000084,
466,PUTNAM,2011,IN,11620.60440000009,
467,PUTNAM,2012,IN,12342.660180000052,
468,RANDOLPH,2006,IN,5559.658517000047,
469,RANDOLPH,2007,IN,5632.982736000045,
470,RANDOLPH,2008,IN,6252.47890736258,
471,RANDOLPH,2009,IN,6869.135370225082,
472,RANDOLPH,2010,IN,7151.350350000095,
473,RANDOLPH,2011,IN,8138.31045795008,
474,RANDOLPH,2012,IN,8715.463170000083,
475,RIPLEY,2006,IN,12516.769859000071,
476,RIPLEY,2007,IN,15897.001334362596,
477,RIPLEY,2008,IN,15740.540586362586,
478,RIPLEY,2009,IN,18991.151940000153,
479,RIPLEY,2010,IN,20759.138872725263,
480,RIPLEY,2011,IN,19349.01235158773,
481,RIPLEY,2012,IN,18945.631834762626,
482,RUSH,2006,IN,4057.7261459999863,
483,RUSH,2007,IN,5353.491251587522,
484,RUSH,2008,IN,5489.701511000036,
485,RUSH,2009,IN,6201.927780000061,
486,RUSH,2010,IN,6787.457137500088,
487,RUSH,2011,IN,7320.904575000067,
488,RUSH,2012,IN,8100.644336587576,
489,SCOTT,2006,IN,22637.223968500366,
490,SCOTT,2007,IN,28526.67236386299,
491,SCOTT,2008,IN,30862.819389000386,
492,SCOTT,2009,IN,33297.03401850025,
493,SCOTT,2010,IN,34661.816962500336,
494,SCOTT,2011,IN,31932.541826362612,15.0
495,SCOTT,2012,IN,32281.524176587587,12.0
496,SHELBY,2006,IN,7896.504471000149,
497,SHELBY,2007,IN,10134.396510362687,13.0
498,SHELBY,2008,IN,11338.31081100018,
499,SHELBY,2009,IN,12410.977200000194,
500,SHELBY,2010,IN,14665.643527950251,
501,SHELBY,2011,IN,17007.061578862616,
502,SHELBY,2012,IN,16052.335500000117,
503,SPENCER,2006,IN,3558.953930000016,
504,SPENCER,2007,IN,4089.8749425000183,
505,SPENCER,2008,IN,4680.743367000032,
506,SPENCER,2009,IN,5215.164330000055,
507,SPENCER,2010,IN,6518.298817500098,
508,SPENCER,2011,IN,6360.458463862594,
509,SPENCER,2012,IN,6885.721742475062,
510,ST JOSEPH,2006,IN,43822.25764254092,
511,ST JOSEPH,2007,IN,53510.40710517925,
512,ST JOSEPH,2008,IN,62385.63850686725,
513,ST JOSEPH,2009,IN,70857.8035517305,
514,ST JOSEPH,2010,IN,83065.1230810943,
515,ST JOSEPH,2011,IN,95187.79113248303,
516,ST JOSEPH,2012,IN,113338.67073608299,
517,STARKE,2006,IN,8708.44826250003,
518,STARKE,2007,IN,11711.836934000023,11.0
519,STARKE,2008,IN,13892.711446087564,
520,STARKE,2009,IN,15680.603730900066,12.0
521,STARKE,2010,IN,18362.294205900027,
522,STARKE,2011,IN,21697.923780900044,
523,STARKE,2012,IN,26317.681321350057,
524,STEUBEN,2006,IN,4496.890258500031,
525,STEUBEN,2007,IN,4144.728129,
526,STEUBEN,2008,IN,5322.16015650006,
527,STEUBEN,2009,IN,5949.19716795006,
528,STEUBEN,2010,IN,7015.492762500081,
529,STEUBEN,2011,IN,8187.094886362608,
530,STEUBEN,2012,IN,9267.903412950123,
531,SULLIVAN,2006,IN,6867.112278675069,
532,SULLIVAN,2007,IN,7981.221182700085,
533,SULLIVAN,2008,IN,9516.006019500126,
534,SULLIVAN,2009,IN,10902.746587500142,
535,SULLIVAN,2010,IN,11082.927487500137,
536,SULLIVAN,2011,IN,10958.555737500115,
537,SULLIVAN,2012,IN,12316.818787500102,
538,SWITZERLAND,2006,IN,1678.999255500002,
539,SWITZERLAND,2007,IN,1948.1217792250022,
540,SWITZERLAND,2008,IN,1980.4043910000019,
541,SWITZERLAND,2009,IN,2197.9525875000027,
542,SWITZERLAND,2010,IN,2224.376137500003,
543,SWITZERLAND,2011,IN,2148.743137500005,
544,SWITZERLAND,2012,IN,2316.7649625000035,
545,TIPPECANOE,2006,IN,26143.838602226315,
546,TIPPECANOE,2007,IN,30965.422617726636,16.0
547,TIPPECANOE,2008,IN,36378.72556676451,
548,TIPPECANOE,2009,IN,40604.81765407755,21.0
549,TIPPECANOE,2010,IN,47072.555448865416,
550,TIPPECANOE,2011,IN,55414.73147636625,18.0
551,TIPPECANOE,2012,IN,63322.23053704143,21.0
552,TIPTON,2006,IN,3046.384619999995,
553,TIPTON,2007,IN,3235.5696854999937,
554,TIPTON,2008,IN,3423.222671999994,
555,TIPTON,2009,IN,3530.130862500008,
556,TIPTON,2010,IN,3479.374440000006,
557,TIPTON,2011,IN,3021.149587500011,
558,TIPTON,2012,IN,3779.9167575000142,
559,UNION,2006,IN,1202.4660057000024,
560,UNION,2007,IN,1522.8013459125023,
561,UNION,2008,IN,1427.4133962000026,
562,UNION,2009,IN,1227.6813811125012,
563,UNION,2010,IN,1631.771814525004,
564,UNION,2011,IN,1635.6816811125063,
565,UNION,2012,IN,1910.2758733875028,
566,VANDERBURGH,2006,IN,68510.71325850335,20.0
